Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Kyle Korver,SF,31,ATL,74,2259,13.9,.637,.689,.130,1.2,13.5,7.4,9.9,1.6,1.3,9.9,14.5,4.0,2.5,6.4,.137,1.1,0.7,1.8,2.2,2013
David Lee,PF,29,GSW,79,2907,19.2,.561,.003,.276,8.5,24.5,16.8,16.5,1.2,0.6,13.7,23.2,5.4,3.7,9.1,.150,1.4,0.4,1.8,2.8,2013
Kawhi Leonard,SF,21,SAS,58,1810,16.4,.592,.331,.240,4.3,17.1,11.1,7.7,2.7,1.3,9.6,16.4,3.0,3.3,6.2,.166,1.1,2.0,3.1,2.3,2013
Damian Lillard,PG,22,POR,82,3167,16.4,.546,.391,.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,.088,2.1,-1.9,0.3,1.8,2013
Kyle Lowry,PG,26,TOR,68,2020,17.5,.543,.448,.384,3.2,15.9,9.5,34.6,2.5,1.0,17.7,20.3,3.5,2.1,5.6,.133,2.0,0.9,2.9,2.5,2013
Paul Millsap,PF,27,UTA,78,2375,19.8,.550,.045,.407,8.6,18.8,13.7,14.5,2.3,2.7,11.8,22.4,4.8,2.9,7.6,.154,1.7,1.0,2.7,2.8,2013
Tony Parker,PG,30,SAS,66,2174,23.0,.588,.068,.332,1.0,9.1,5.3,40.4,1.3,0.2,13.0,27.7,7.1,2.3,9.3,.206,4.1,-0.5,3.6,3.1,2013
Chris Paul,PG,27,LAC,70,2335,26.4,.594,.271,.377,2.8,10.5,6.7,46.5,3.8,0.4,13.7,22.6,10.6,3.4,13.9,.287,6.4,2.4,8.8,6.4,2013
Zach Randolph,PF,31,MEM,76,2607,17.9,.506,.022,.293,13.8,25.1,19.3,7.3,1.3,1.0,11.5,23.1,3.2,4.7,7.9,.145,1.0,-0.7,0.2,1.5,2013
Jeff Teague,PG,24,ATL,80,2628,16.8,.543,.255,.232,1.1,6.7,3.9,36.1,2.3,0.8,17.6,23.0,3.5,2.6,6.1,.111,0.9,-0.6,0.3,1.5,2013
Klay Thompson,SG,22,GSW,82,2936,12.7,.533,.437,.130,1.2,10.0,5.7,10.1,1.5,1.2,11.0,21.8,1.7,2.6,4.3,.070,-0.1,-0.2,-0.3,1.3,2013
Dwyane Wade,SG,31,MIA,69,2391,24.0,.571,.060,.389,4.7,12.6,8.9,26.6,2.8,1.9,13.2,29.5,6.1,3.5,9.6,.192,3.7,0.7,4.4,3.8,2013
Kemba Walker,PG,22,CHA,82,2859,18.8,.517,.267,.298,2.3,9.2,5.7,31.2,2.9,0.9,12.4,25.6,3.7,1.1,4.8,.080,2.2,-0.8,1.4,2.4,2013
John Wall,PG,22,WAS,49,1602,20.8,.521,.061,.416,2.4,11.2,6.8,43.9,2.1,1.8,15.3,29.3,2.2,2.2,4.5,.134,2.7,1.1,3.9,2.4,2013
Russell Westbrook,PG,24,OKC,82,2861,23.9,.532,.195,.375,4.8,11.8,8.6,38.4,2.6,0.6,13.2,32.8,7.7,3.9,11.6,.195,4.6,-0.2,4.4,4.6,2013
Deron Williams,PG,28,BRK,78,2842,20.3,.574,.398,.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,9.1,1.8,10.9,.184,4.5,-0.7,3.8,4.2,2013
LaMarcus Aldridge,PF,28,POR,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,4.0,3.5,7.5,.144,2.3,0.1,2.3,2.7,2014
Giannis Antetokounmpo,SF,19,MIL,77,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.1,1.1,1.2,.031,-2.4,-0.1,-2.5,-0.2,2014
Bradley Beal,SG,20,WAS,73,2530,14.3,.507,.299,.164,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,1.6,2.4,4.0,.076,0.3,-0.7,-0.4,1.0,2014
Jimmy Butler,SG,24,CHI,67,2591,13.5,.522,.346,.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,2.4,4.6,7.1,.131,-0.9,2.0,1.1,2.0,2014
Stephen Curry,PG,25,GSW,78,2846,24.1,.610,.445,.252,1.8,10.9,6.4,39.9,2.2,0.4,16.1,28.3,9.3,4.0,13.4,.225,6.3,1.1,7.4,6.7,2014
Anthony Davis,PF,20,NOP,67,2358,26.5,.582,.009,.438,10.0,23.3,16.6,8.0,2.0,6.7,8.3,25.2,7.2,3.2,10.4,.212,4.0,0.8,4.8,4.0,2014
DeMar DeRozan,SG,24,TOR,79,3017,18.4,.532,.149,.448,2.0,11.3,6.6,18.9,1.5,0.7,9.5,28.0,5.8,3.0,8.8,.141,1.9,-0.3,1.7,2.8,2014
Goran Dragic,SG,27,PHO,76,2668,21.4,.604,.274,.381,2.9,7.4,5.2,28.1,2.0,0.6,14.3,24.5,8.4,2.0,10.3,.186,4.1,-0.2,3.9,4.0,2014
Kevin Durant,SF,25,OKC,81,3122,29.8,.635,.291,.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,14.8,4.4,19.2,.295,8.8,1.4,10.2,9.6,2014
Marc Gasol,C,29,MEM,59,1970,18.2,.526,.015,.339,5.0,20.5,12.7,17.7,1.6,3.2,12.0,21.7,2.6,3.1,5.6,.137,1.1,2.0,3.0,2.5,2014
Pau Gasol,C,33,LAL,60,1884,19.3,.522,.016,.287,7.0,25.9,16.4,18.7,0.7,3.5,12.4,26.4,1.3,1.7,3.0,.076,1.0,0.2,1.2,1.5,2014
Paul George,SF,23,IND,80,2898,20.1,.555,.367,.341,2.6,17.7,10.5,17.9,2.7,0.6,12.5,28.3,4.4,6.4,10.8,.178,2.7,2.1,4.9,5.0,2014
Draymond Green,SF,23,GSW,82,1797,12.7,.498,.359,.268,5.3,19.3,12.4,11.9,2.8,3.0,15.1,14.8,0.7,3.8,4.5,.119,-1.7,3.6,1.9,1.8,2014
Blake Griffin,PF,24,LAC,80,2863,23.9,.583,.032,.496,7.7,21.2,14.7,19.2,1.6,1.4,11.9,29.0,8.1,4.1,12.2,.205,3.8,0.7,4.5,4.7,2014
James Harden,SG,24,HOU,73,2777,23.5,.618,.401,.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,10.1,2.7,12.8,.221,5.4,0.2,5.6,5.3,2014
Roy Hibbert,C,27,IND,81,2409,13.5,.499,.007,.357,9.9,15.0,12.5,6.2,0.6,5.7,14.5,19.4,0.5,5.0,5.4,.108,-2.9,1.5,-1.4,0.4,2014
Dwight Howard,C,28,HOU,71,2396,21.3,.600,.009,.798,11.4,27.9,20.1,9.3,1.2,4.0,17.5,24.0,4.0,4.1,8.0,.161,0.9,0.8,1.8,2.3,2014
Andre Iguodala,SF,30,GSW,63,2040,13.7,.570,.382,.288,2.9,12.6,7.8,18.2,2.3,0.7,16.2,13.3,2.7,3.1,5.8,.135,-0.1,2.4,2.3,2.2,2014
Kyrie Irving,PG,21,CLE,71,2496,20.1,.533,.278,.273,2.3,9.5,5.8,31.6,2.2,0.8,12.1,28.2,4.6,2.1,6.7,.128,3.6,-0.2,3.4,3.3,2014
LeBron James,PF,29,MIA,77,2902,29.3,.649,.226,.432,3.6,18.9,11.5,32.0,2.2,0.8,14.4,31.0,12.3,3.7,15.9,.264,7.8,1.1,8.8,7.9,2014
