Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Kyrie Irving,PG,29,BRK,4,4,42.5,7.0,15.8,.444,2.0,5.3,.381,5.0,10.5,.476,.508,5.3,5.3,1.000,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,2022
Nikola Jokic,C,26,DEN,5,5,34.2,12.2,21.2,.575,1.0,3.6,.278,11.2,17.6,.636,.599,5.6,6.6,.848,3.4,9.8,13.2,5.8,1.6,1.0,4.8,4.0,31.0,2022
DeAndre Jordan,C,33,PHI,3,2,10.3,1.7,1.7,1.000,0.0,0.0,,1.7,1.7,1.000,1.000,0.0,0.0,,0.3,2.0,2.3,0.3,0.0,0.7,0.7,1.3,3.3,2022
Kyle Lowry,PG,35,MIA,10,10,29.5,2.5,8.6,.291,1.3,5.4,.241,1.2,3.2,.375,.366,1.5,1.9,.789,0.3,3.3,3.6,4.7,1.2,0.7,1.9,2.9,7.8,2022
Khris Middleton,SF,30,MIL,2,2,36.0,5.0,12.0,.417,3.0,7.0,.429,2.0,5.0,.400,.542,1.5,1.5,1.000,0.5,4.5,5.0,7.0,1.5,0.0,5.5,3.0,14.5,2022
Paul Millsap,C,36,PHI,1,0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2022
Victor Oladipo,SG,29,MIA,15,1,24.5,3.3,9.1,.368,1.1,4.1,.274,2.2,4.9,.446,.430,2.8,3.5,.792,0.3,3.1,3.4,2.1,1.3,0.3,1.7,1.9,10.6,2022
Chris Paul,PG,36,PHO,13,13,34.5,6.7,11.9,.561,1.5,3.8,.388,5.2,8.2,.642,.623,2.7,2.8,.946,0.5,3.6,4.2,8.3,1.5,0.2,2.4,3.1,17.5,2022
Klay Thompson,SG,31,GSW,22,22,36.0,7.2,16.7,.429,3.5,9.1,.385,3.7,7.6,.482,.534,1.2,1.4,.867,0.3,3.6,3.9,2.3,1.1,0.7,1.3,2.1,19.0,2022
Giannis Antetokounmpo,PF,28,MIL,3,3,30.3,9.3,17.7,.528,0.0,1.0,.000,9.3,16.7,.560,.528,4.7,10.3,.452,2.7,8.3,11.0,5.3,0.3,0.7,4.7,3.0,23.3,2023
Jimmy Butler,PF,33,MIA,22,22,39.7,9.4,20.1,.468,1.3,3.5,.359,8.1,16.5,.492,.500,6.8,8.5,.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,1.7,26.9,2023
Stephen Curry,PG,34,GSW,13,13,37.9,11.2,23.9,.466,4.4,12.1,.363,6.8,11.8,.571,.558,3.8,4.5,.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,2.6,30.5,2023
Anthony Davis,C,29,LAL,16,16,38.0,8.3,15.9,.520,0.3,0.9,.333,7.9,14.9,.531,.530,5.8,6.8,.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,2.9,22.6,2023
Goran Dragic,PG,36,MIL,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0,2023
Kevin Durant,PF,34,PHO,11,11,42.4,9.7,20.4,.478,1.5,4.6,.333,8.2,15.7,.520,.516,8.0,8.7,.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,2.6,29.0,2023
Joel Embiid,C,28,PHI,9,9,37.3,7.3,17.0,.431,0.6,3.1,.179,6.8,13.9,.488,.448,8.4,9.3,.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,3.0,23.7,2023
Draymond Green,PF,32,GSW,12,9,30.6,3.5,7.6,.462,0.4,1.7,.250,3.1,5.9,.521,.489,2.0,2.8,.727,1.6,5.3,6.9,6.8,1.5,1.0,2.3,4.0,9.4,2023
Blake Griffin,C,33,BOS,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2023
James Harden,PG,33,PHI,11,11,38.8,6.5,16.6,.393,2.8,7.5,.378,3.7,9.2,.406,.478,4.4,5.0,.873,0.5,5.6,6.2,8.3,1.8,0.4,3.2,2.5,20.3,2023
Jrue Holiday,PG,32,MIL,5,5,38.2,6.8,17.0,.400,2.4,8.4,.286,4.4,8.6,.512,.471,1.8,2.6,.692,0.8,5.8,6.6,8.0,1.0,0.4,2.4,2.4,17.8,2023
Al Horford,C,36,BOS,20,20,30.9,2.6,6.6,.386,1.4,4.7,.298,1.2,1.9,.605,.492,0.2,0.2,.750,1.5,5.7,7.2,3.0,1.1,1.7,0.6,2.4,6.7,2023
LeBron James,PF,38,LAL,16,16,38.7,9.2,18.4,.498,1.8,6.6,.264,7.4,11.8,.630,.546,4.4,5.8,.761,1.6,8.3,9.9,6.5,1.1,1.1,2.5,1.8,24.5,2023
Nikola Jokic,C,27,DEN,20,20,39.5,11.4,20.7,.548,1.8,3.8,.461,9.6,16.9,.568,.591,5.6,7.0,.799,3.5,10.0,13.5,9.5,1.1,1.0,3.5,3.5,30.0,2023
DeAndre Jordan,C,34,DEN,4,0,3.5,0.5,0.8,.667,0.0,0.0,,0.5,0.8,.667,.667,0.3,0.5,.500,0.0,1.0,1.0,0.3,0.0,0.3,0.5,0.5,1.3,2023
Kawhi Leonard,SF,31,LAC,2,2,40.0,12.0,22.0,.545,3.0,5.0,.600,9.0,17.0,.529,.614,7.5,8.5,.882,1.5,5.0,6.5,6.0,2.0,0.5,3.0,2.5,34.5,2023
Kevin Love,PF,34,MIA,20,18,18.0,2.3,6.0,.378,1.7,4.4,.375,0.6,1.6,.387,.517,0.7,0.8,.875,0.7,4.9,5.6,1.2,0.5,0.4,0.5,1.8,6.9,2023
Kyle Lowry,PG,36,MIA,23,1,26.0,3.2,7.6,.425,1.4,3.8,.375,1.8,3.7,.477,.520,1.3,1.4,.939,0.5,3.0,3.5,4.4,1.0,0.6,1.7,2.6,9.2,2023
Khris Middleton,SF,31,MIL,5,5,34.6,8.0,17.2,.465,2.6,6.4,.406,5.4,10.8,.500,.541,5.2,6.0,.867,1.4,5.0,6.4,6.2,0.6,0.0,3.4,3.0,23.8,2023
Victor Oladipo,SG,30,MIA,2,0,22.5,5.0,9.5,.526,1.0,2.5,.400,4.0,7.0,.571,.579,0.5,1.5,.333,0.5,3.0,3.5,1.0,1.0,0.5,1.0,2.5,11.5,2023
Chris Paul,PG,37,PHO,7,7,35.7,5.4,13.0,.418,1.3,4.0,.321,4.1,9.0,.460,.467,0.3,0.6,.500,0.7,4.3,5.0,7.4,1.7,0.7,1.0,2.3,12.4,2023
Klay Thompson,SF,32,GSW,13,13,36.0,6.5,16.8,.388,3.8,10.5,.368,2.7,6.4,.422,.502,1.6,1.8,.875,0.1,4.1,4.2,2.2,0.5,0.3,2.0,2.2,18.5,2023
Russell Westbrook,PG,34,LAC,5,5,38.4,8.6,21.0,.410,2.0,5.6,.357,6.6,15.4,.429,.457,4.4,5.0,.880,1.8,5.8,7.6,7.4,1.2,1.4,4.0,3.0,23.6,2023
