Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Tony Parker,PG,31,SAS,23,719,15.8,.531,.101,.202,0.8,6.4,3.7,26.1,1.1,0.2,14.1,28.3,0.3,0.7,1.1,.071,0.2,-1.6,-1.4,0.1,2014
Chris Paul,PG,28,LAC,13,472,23.6,.583,.355,.269,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,1.5,0.5,1.9,.195,6.4,2.4,8.8,1.3,2014
Zach Randolph,PF,32,MEM,6,234,13.6,.447,.010,.394,7.8,17.6,12.4,11.0,1.2,0.4,7.6,25.9,-0.1,0.2,0.1,.018,0.6,-0.5,0.0,0.1,2014
Jeff Teague,PG,25,ATL,7,242,17.1,.521,.241,.357,2.2,10.5,6.1,32.2,1.5,1.4,13.9,28.9,0.1,0.4,0.5,.095,2.9,-0.4,2.6,0.3,2014
Klay Thompson,SG,23,GSW,7,257,12.0,.530,.449,.245,1.7,9.1,5.4,15.2,1.4,1.7,12.1,20.5,0.2,0.0,0.2,.045,0.5,0.6,1.1,0.2,2014
Dwyane Wade,SG,32,MIA,20,693,18.5,.560,.086,.324,3.2,11.3,7.4,20.7,2.4,0.7,14.5,27.4,0.7,0.5,1.2,.086,1.6,-0.7,0.9,0.5,2014
Kemba Walker,PG,23,CHA,4,153,19.6,.620,.436,.327,0.8,12.0,6.2,29.4,2.8,1.7,19.3,24.3,0.2,0.2,0.3,.110,4.1,2.3,6.4,0.3,2014
John Wall,PG,23,WAS,11,420,14.1,.462,.195,.415,1.4,10.8,6.1,32.7,2.3,1.5,15.7,25.9,-0.2,0.8,0.6,.067,0.9,0.0,1.0,0.3,2014
Russell Westbrook,PG,25,OKC,19,735,24.9,.539,.251,.412,7.3,13.6,10.6,40.5,2.9,0.6,15.0,34.3,1.6,0.9,2.5,.166,6.3,1.3,7.6,1.8,2014
Deron Williams,PG,29,BRK,12,428,14.6,.506,.349,.296,2.0,9.6,5.6,28.0,1.7,0.5,13.6,22.7,0.4,0.2,0.5,.061,0.9,-1.3,-0.4,0.2,2014
LaMarcus Aldridge,PF,29,POR,5,208,16.7,.426,.098,.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,0.0,0.2,0.1,.032,1.7,-1.4,0.4,0.1,2015
Giannis Antetokounmpo,SG,20,MIL,6,201,10.9,.425,.014,.324,5.8,17.3,11.1,14.3,0.8,4.0,11.9,20.6,-0.2,0.2,0.0,-0.003,-2.6,0.3,-2.3,0.0,2015
Bradley Beal,SG,21,WAS,10,418,17.9,.518,.315,.295,3.8,10.3,7.1,19.1,1.9,1.3,10.3,26.7,0.7,0.6,1.2,.140,1.7,1.3,3.0,0.5,2015
Jimmy Butler,SG,25,CHI,12,506,20.8,.562,.338,.338,4.0,10.4,7.3,14.1,3.0,1.4,7.9,23.9,1.3,0.8,2.1,.203,4.0,1.9,5.8,1.0,2015
Stephen Curry,PG,26,GSW,21,826,24.5,.607,.528,.262,2.7,11.1,6.9,29.9,2.4,0.3,14.3,31.0,2.7,1.2,3.9,.228,7.7,1.1,8.8,2.2,2015
